Date,Received,Sent
2021-01-01,15,2
2021-01-02,0,0
2021-01-03,3,1
2021-01-04,120,27
2021-01-05,96,22
2021-01-06,44,11
2021-01-07,64,22
2021-01-08,59,18
2021-01-09,8,1
2021-01-10,113,8
2021-01-11,75,22
2021-01-12,93,29
2021-01-13,56,19
2021-01-14,91,42
2021-01-15,64,16
2021-01-16,8,8
2021-01-17,2,0
2021-01-18,14,6
2021-01-19,101,29
2021-01-20,62,20
2021-01-21,119,35
2021-01-22,77,28
2021-01-23,9,4
2021-01-24,14,1
2021-01-25,71,16
2021-01-26,57,21
2021-01-27,50,14
2021-01-28,114,38
2021-01-29,93,39
2021-01-30,5,0
2021-01-31,5,0
2021-02-01,93,36
2021-02-02,65,28
2021-02-03,99,39
2021-02-04,69,25
2021-02-05,126,45
2021-02-06,2,0
2021-02-07,14,8
2021-02-08,78,22
2021-02-09,93,35
2021-02-10,90,33
2021-02-11,69,24
2021-02-12,80,20
2021-02-13,2,0
2021-02-14,1,0
2021-02-15,94,35
2021-02-16,53,17
2021-02-17,49,16
2021-02-18,90,37
2021-02-19,100,27
2021-02-20,4,3
2021-02-21,2,0
2021-02-22,78,21
2021-02-23,66,19
2021-02-24,60,21
2021-02-25,47,6
2021-02-26,66,17
2021-02-27,2,0
2021-02-28,4,0
2021-03-01,65,23
2021-03-02,31,0
2021-03-03,74,28
2021-03-04,70,27
2021-03-05,54,16
2021-03-06,4,0
2021-03-07,5,1
2021-03-08,100,28
2021-03-09,90,13
2021-03-10,78,26
2021-03-11,64,22
2021-03-12,37,6
2021-03-13,2,0
2021-03-14,21,7
2021-03-15,79,24
2021-03-16,62,18
2021-03-17,129,48
2021-03-18,97,31
2021-03-19,74,25
2021-03-20,0,0
2021-03-21,4,2
2021-03-22,127,35
2021-03-23,89,20
2021-03-24,35,4
2021-03-25,115,38
2021-03-26,36,10
2021-03-27,2,0
2021-03-28,10,2
2021-03-29,98,32
2021-03-30,105,34
2021-03-31,91,32
2021-04-01,30,1
2021-04-02,93,26
2021-04-03,2,0
2021-04-04,1,0
2021-04-05,71,19
2021-04-06,39,12
2021-04-07,17,1
2021-04-08,73,27
2021-04-09,78,21
2021-04-10,13,8
2021-04-11,3,0
2021-04-12,89,23
2021-04-13,74,24
2021-04-14,73,25
2021-04-15,81,30
2021-04-16,53,20
2021-04-17,5,0
2021-04-18,5,0
2021-04-19,100,22
2021-04-20,118,39
2021-04-21,57,16
2021-04-22,83,29
2021-04-23,87,27
2021-04-24,3,0
2021-04-25,7,3
2021-04-26,101,31
2021-04-27,87,18
2021-04-28,67,27
2021-04-29,71,29
2021-04-30,80,20
2021-05-01,1,0
2021-05-02,2,1
2021-05-03,118,35
2021-05-04,83,23
2021-05-05,84,24
2021-05-06,110,34
2021-05-07,83,31
2021-05-08,6,2
2021-05-09,3,0
2021-05-10,117,24
2021-05-11,44,8
2021-05-12,114,38
2021-05-13,124,53
2021-05-14,73,28
2021-05-15,8,1
2021-05-16,14,4
2021-05-17,97,29
2021-05-18,78,20
2021-05-19,89,29
2021-05-20,151,77
2021-05-21,77,22
2021-05-22,25,18
2021-05-23,5,0
2021-05-24,141,53
2021-05-25,89,26
2021-05-26,75,20
2021-05-27,49,14
2021-05-28,74,17
2021-05-29,3,1
2021-05-30,2,0
2021-05-31,5,1
2021-06-01,78,22
2021-06-02,86,37
2021-06-03,77,12
2021-06-04,90,29
2021-06-05,3,1
2021-06-06,4,0
2021-06-07,154,68
2021-06-08,86,26
2021-06-09,68,20
2021-06-10,89,25
2021-06-11,88,24
2021-06-12,7,1
2021-06-13,28,16
2021-06-14,48,6
2021-06-15,48,11
2021-06-16,21,0
2021-06-17,51,16
2021-06-18,21,6
2021-06-19,1,0
2021-06-20,5,1
2021-06-21,49,10
2021-06-22,28,3
2021-06-23,29,7
2021-06-24,16,1
2021-06-25,18,0
2021-06-26,2,0
2021-06-27,3,0
2021-06-28,106,36
2021-06-29,76,26
2021-06-30,126,46
2021-07-01,91,22
2021-07-02,49,13
2021-07-03,4,0
2021-07-04,4,0
2021-07-05,12,4
2021-07-06,130,36
2021-07-07,37,0
2021-07-08,35,1
2021-07-09,55,20
2021-07-10,3,0
2021-07-11,7,5
2021-07-12,83,18
2021-07-13,64,16
2021-07-14,85,26
2021-07-15,102,33
2021-07-16,40,7
2021-07-17,3,0
2021-07-18,28,12
2021-07-19,80,24
2021-07-20,58,20
2021-07-21,82,28
2021-07-22,84,19
2021-07-23,50,11
2021-07-24,4,0
2021-07-25,16,7
2021-07-26,98,27
2021-07-27,49,20
2021-07-28,62,24
2021-07-29,83,21
2021-07-30,67,17
2021-07-31,0,0
2021-08-01,10,2
2021-08-02,78,28
2021-08-03,77,16
2021-08-04,138,36
2021-08-05,130,41
2021-08-06,58,12
2021-08-07,5,0
2021-08-08,8,3
2021-08-09,102,26
2021-08-10,111,28
2021-08-11,93,27
2021-08-12,94,29
2021-08-13,76,26
2021-08-14,16,7
2021-08-15,9,2
2021-08-16,86,20
2021-08-17,34,2
2021-08-18,88,35
2021-08-19,67,28
2021-08-20,45,22
2021-08-21,7,0
2021-08-22,5,0
2021-08-23,93,29
2021-08-24,86,32
2021-08-25,65,16
2021-08-26,76,24
2021-08-27,44,11
2021-08-28,3,0
2021-08-29,6,0
2021-08-30,76,23
2021-08-31,62,13
2021-09-01,20,1
2021-09-02,92,43
2021-09-03,30,6
2021-09-04,2,0
2021-09-05,9,1
2021-09-06,5,0
2021-09-07,110,30
2021-09-08,120,20
2021-09-09,83,20
2021-09-10,62,12
2021-09-11,5,1
2021-09-12,15,4
2021-09-13,114,33
2021-09-14,86,20
2021-09-15,76,20
2021-09-16,63,13
2021-09-17,113,49
2021-09-18,4,0
2021-09-19,7,0
2021-09-20,93,22
2021-09-21,88,19
2021-09-22,64,17
2021-09-23,44,14
2021-09-24,77,35
2021-09-25,7,1
2021-09-26,4,0
2021-09-27,117,38
2021-09-28,73,17
2021-09-29,139,17
2021-09-30,82,21
2021-10-01,63,14
2021-10-02,4,0
2021-10-03,5,0
2021-10-04,73,19
2021-10-05,41,7
2021-10-06,118,36
2021-10-07,66,18
2021-10-08,87,31
2021-10-09,4,0
2021-10-10,4,0
2021-10-11,69,20
2021-10-12,76,17
2021-10-13,40,8
2021-10-14,50,12
2021-10-15,91,32
2021-10-16,6,0
2021-10-17,9,2
2021-10-18,82,20
2021-10-19,53,15
2021-10-20,35,10
2021-10-21,37,12
2021-10-22,31,11
2021-10-23,4,0
2021-10-24,4,1
2021-10-25,65,13
2021-10-26,41,10
2021-10-27,40,7
2021-10-28,62,13
2021-10-29,46,7
2021-10-30,7,1
2021-10-31,5,0
2021-11-01,32,6
2021-11-02,48,7
2021-11-03,48,15
2021-11-04,66,17
2021-11-05,42,10
2021-11-06,7,1
2021-11-07,4,0
2021-11-08,68,22
2021-11-09,73,24
2021-11-10,94,20
2021-11-11,87,23
2021-11-12,56,25
2021-11-13,3,0
2021-11-14,13,4
2021-11-15,39,2
2021-11-16,57,21
2021-11-17,25,4
2021-11-18,32,3
2021-11-19,73,25
2021-11-20,3,0
2021-11-21,3,0
2021-11-22,57,10
2021-11-23,34,9
2021-11-24,38,3
2021-11-25,4,0
2021-11-26,5,0
2021-11-27,4,0
2021-11-28,3,0
2021-11-29,48,0
2021-11-30,23,